                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5689,                 1.0862,                 1.6627,                0.90981,                0.76779,                0.84222,                 0.5084,                 1.3688,                 1.0181,                 1.6818,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.5613,                 1.0603,                 1.6707,                0.88935,                0.76465,                0.84892,                0.50603,                  1.334,                 1.0064,                 1.6513,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.5137,                 1.0241,                 1.6571,                 0.9091,                 0.7612,                0.86857,                0.52781,                 1.3187,                0.93857,                 1.6383,               0.000614,               0.000614,               0.000614
                     37,                 1.4935,                 1.0061,                  1.651,                0.90965,                0.78758,                0.85936,                0.50937,                 1.3856,                0.99104,                 1.6853,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.5444,                 1.0594,                  1.652,                0.89898,                0.77167,                 0.8539,                0.52178,                 1.3121,                0.93587,                 1.6244,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.4828,                 1.0071,                  1.577,                0.95802,                0.76321,                0.86645,                0.54263,                 1.2838,                0.95236,                 1.5976,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.4626,                0.99959,                 1.5953,                0.87772,                0.82241,                0.86757,                0.54122,                  1.302,                0.90705,                 1.6228,              0.0004556,              0.0004556,              0.0004556
                     41,                  1.343,                 0.9663,                 1.6237,                 0.9148,                0.78436,                0.86425,                0.54623,                 1.2911,                0.89236,                   1.58,               0.000416,               0.000416,               0.000416
                     42,                  1.313,                0.91611,                  1.579,                0.91307,                0.82168,                0.87838,                0.55488,                 1.2459,                0.86143,                 1.5534,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.3007,                0.89344,                 1.5749,                0.92935,                0.81818,                 0.8822,                0.56455,                 1.2445,                0.87682,                 1.5561,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.3141,                0.91221,                  1.603,                0.92781,                0.81516,                0.88555,                0.55762,                 1.2312,                0.88895,                  1.542,              0.0002972,              0.0002972,              0.0002972
                     45,                  1.248,                0.86377,                 1.5494,                0.91154,                0.81607,                0.87977,                 0.5764,                 1.1893,                0.85484,                 1.5111,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.2529,                0.87186,                 1.5315,                0.90025,                0.83955,                0.88685,                0.58363,                 1.2011,                0.81678,                 1.5118,               0.000218,               0.000218,               0.000218
                     47,                 1.2863,                0.85936,                 1.5491,                0.91191,                 0.8536,                0.89149,                0.58709,                 1.1856,                0.80109,                 1.5128,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.2372,                0.83526,                 1.5458,                0.93124,                 0.8304,                0.89172,                0.58813,                 1.1611,                 0.8031,                 1.4963,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.2801,                0.83915,                  1.556,                0.94291,                 0.8351,                0.89449,                0.60589,                 1.1409,                0.78467,                 1.4804,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.2246,                0.82242,                 1.5025,                0.94265,                0.83721,                0.89179,                0.60566,                 1.1248,                0.77777,                 1.4778,               5.96e-05,               5.96e-05,               5.96e-05
